millis,sens0,sens1,sens2
10791,460,527,456
10835,467,447,470
10874,467,467,452
10921,471,437,468
10965,471,464,468
11009,473,461,442
11053,474,493,471
11097,465,490,461
11137,466,498,460
11176,462,479,451
11216,465,449,466
11255,469,486,455
11294,469,449,473
11333,470,445,464
11372,473,432,467
11412,464,464,463
11451,470,468,462
11490,466,495,467
11529,459,457,464
11569,467,483,457
11608,463,492,475
11647,462,469,460
11686,475,458,467
11726,464,453,461
11765,461,421,470
11804,478,444,464
11850,475,472,467
11889,471,456,471
11928,471,460,461
11970,473,491,470
12009,461,482,485
12048,475,505,451
12088,476,434,473
12127,466,462,470
12166,457,421,478
12206,473,452,458
12245,460,458,419
12284,462,453,442
12323,430,529,527
12363,470,542,532
12402,460,507,493
12441,419,478,503
12494,481,483,492
12533,431,403,437
12572,445,477,458
12620,414,480,406
12664,408,470,546
12708,481,468,444
12752,324,478,456
12796,547,440,452
12836,383,414,470
12876,503,429,430
12915,688,435,483
12961,589,491,589
13000,451,467,408
13040,399,535,432
13079,555,500,392
13119,545,486,506
13158,587,423,523
13197,522,409,402
13239,472,487,417
13279,484,458,487
13318,570,422,472
13357,498,508,499
13397,507,438,430
13436,501,472,411
13476,500,475,443
13515,490,524,445
13555,498,286,442
13594,482,375,423
13633,483,368,454
13673,475,207,431
13712,468,466,479
13752,474,383,438
13791,467,486,454
13831,469,477,464
13870,463,521,463
13909,471,454,478
13949,458,545,463
13988,463,453,462
14034,462,502,470
14074,454,499,479
14113,441,444,471
14153,460,502,458
14192,447,474,476
14232,455,402,496
14279,455,485,512
14323,453,504,476
14367,462,434,483
14411,450,471,461
14454,465,452,461
14495,452,412,472
14536,468,440,470
14576,451,472,480
14615,466,457,475
14654,462,479,470
14693,460,481,488
14732,461,436,474
14772,461,472,473
14811,458,492,453
14850,454,447,463
14889,454,470,466
14929,456,450,491
14968,464,480,476
15007,446,505,496
15046,477,458,458
15086,454,449,453
15131,473,457,471
15171,444,492,462
15210,442,445,480
15249,381,422,459
15288,439,442,513
15328,455,447,506
15367,487,443,516
15406,476,402,432
15445,472,553,436
15485,428,389,415
15524,563,444,493
15563,376,501,573
15603,491,578,553
15642,391,549,379
15681,503,384,357
15720,496,582,469
15766,656,461,553
15806,570,523,342
15845,563,425,422
15884,505,424,489
15924,457,443,433
15971,498,405,286
16015,501,531,635
16059,406,519,395
16103,516,470,498
16147,520,473,525
16188,506,540,459
16234,466,462,433
16273,491,438,477
16312,485,460,453
16352,494,429,462
16404,494,373,436
16444,477,426,450
16483,463,349,448
16522,458,526,453
16562,449,434,441
16601,463,350,444
16641,457,487,453
16680,454,471,459
16720,465,437,443
16759,455,427,456
16798,456,454,465
16838,460,409,464
16877,455,433,477
16917,464,467,465
16959,465,456,477
16998,462,443,473
17037,466,462,470
17077,463,456,473
17116,471,444,474
17156,467,510,477
17195,451,461,472
17235,463,430,475
17274,461,472,465
17320,468,397,475
17360,452,478,475
17399,462,469,475
17438,464,509,472
17478,455,484,472
17517,462,405,471
17557,457,491,465
17596,461,471,470
17644,458,455,473
17688,466,477,466
17731,461,430,479
17775,461,466,471
17819,473,454,469
17860,462,487,470
17899,462,437,463
17938,470,458,463
17977,456,488,459
18016,468,462,468
18056,471,471,467
18095,460,460,466
18134,468,451,469
18173,467,469,464
18213,462,484,471
18254,470,454,476
18294,466,468,468
18333,467,455,468
18372,462,480,446
18418,471,467,467
18457,463,461,467
18496,457,474,465
18535,475,455,463
18575,463,481,465
18614,467,447,467
18653,468,476,472
18692,461,478,466
18732,472,454,471
18771,466,469,475
18810,464,454,465
18850,466,437,473
18889,470,470,473
18928,467,479,481
18967,477,462,467
19007,477,453,473
19046,455,462,463
19085,467,451,472
19124,449,464,458
19164,458,447,528
19203,468,479,456
19242,401,454,506
19282,424,471,433
19329,488,472,486
19373,471,466,553
19417,431,503,406
19461,426,419,368
19515,349,478,394
19555,455,488,435
19594,511,494,493
19633,281,457,457
19673,499,433,675
19712,367,524,490
19751,520,399,478
19791,465,558,387
19830,385,495,545
19870,483,458,340
19909,525,458,363
19948,528,192,372
19988,453,509,488
20027,529,483,435
20067,598,534,448
20106,515,482,440
20145,500,488,384
20185,507,493,447
20224,493,490,428
20277,500,552,433
20316,500,427,440
20356,481,411,455
20395,461,383,445
20435,464,365,438
20474,457,453,453
20514,444,507,449
20553,462,459,454
20599,467,469,471
20639,469,490,463
20678,447,396,463
20717,471,413,462
20764,455,484,471
20803,464,471,471
20842,459,403,471
20882,459,431,470
20921,467,463,480
20961,456,457,476
21008,457,474,457
21052,464,485,481
21096,457,494,476
21140,464,471,480
21184,468,487,474
21224,459,501,474
21263,453,463,471
21302,459,470,479
21342,460,471,461
21381,464,418,466
21420,469,473,482
21459,454,476,467
21499,460,460,474
21538,467,471,473
21577,457,475,470
21616,466,421,461
21655,462,488,468
21701,461,453,465
21740,463,504,470
21780,460,467,447
21819,468,408,499
21858,455,468,476
21897,456,468,490
21939,472,449,484
21979,462,444,471
22018,473,472,473
22057,464,455,485
22096,458,456,492
22136,471,445,487
22175,461,498,493
22214,455,472,466
22253,480,508,488
22293,464,473,454
22332,469,447,463
22371,472,435,476
22410,459,455,479
22450,471,421,459
22489,478,468,446
22528,443,456,487
22568,494,512,402
22607,424,476,539
22646,454,471,473
22693,481,472,505
22737,494,469,569
22793,428,504,454
22837,237,458,411
22877,476,485,441
22917,554,461,381
22956,517,409,294
22996,586,340,375
23035,473,430,378
23074,623,493,416
23114,508,373,469
23153,514,472,563
23192,507,472,397
23234,467,548,400
23274,585,471,387
23313,480,479,392
23353,527,476,459
23392,489,496,460
23431,504,471,448
23471,494,429,437
23510,470,480,453
23550,488,451,451
23589,477,414,448
23628,454,427,443
23668,459,351,434
23707,461,553,441
23747,456,393,449
23786,467,446,445
23826,454,477,443
23864,458,419,454
23904,471,412,447
23943,447,448,467
23983,470,473,477
24022,469,473,471
24062,454,496,466
24101,474,449,477
24154,471,459,483
24193,459,487,472
24233,458,455,476
24272,465,477,490
24311,460,457,469
24351,464,470,475
24398,459,456,468
24442,455,472,477
24488,463,492,470
24532,460,441,470
24576,462,472,474
24616,466,450,462
24656,466,498,471
24695,457,470,469
24734,464,480,469
24773,467,476,472
24812,458,476,472
24852,465,448,469
24891,465,469,466
24937,470,481,471
24976,458,457,472
25015,457,450,468
25054,470,456,461
25094,460,439,466
25133,471,455,466
25172,468,459,474
25211,466,456,468
25250,470,461,466
25290,465,504,460
25329,459,444,465
25368,467,458,466
25407,458,478,453
25447,448,463,477
25486,446,458,354
25525,475,453,461
