millis,sens0,sens1,sens2
13900,493,459,472
14000,442,459,477
14100,463,468,475
14200,463,467,472
14300,458,464,475
14400,456,467,469
14500,468,458,473
14600,460,463,472
14700,458,468,472
14800,472,465,472
14900,458,466,477
15000,470,461,475
15100,469,427,468
15200,476,443,474
15300,459,445,461
15400,470,430,455
15500,485,495,479
15600,442,475,486
15700,472,530,477
15800,477,461,462
15900,522,560,464
16000,467,436,347
16100,487,592,484
16200,444,474,456
16300,496,512,458
16400,520,525,473
16500,478,558,456
16600,443,558,522
16700,472,550,496
16800,463,482,513
16900,456,450,506
17000,471,464,455
17100,493,511,503
17200,454,385,510
17300,470,503,449
17400,469,465,494
17500,453,475,493
17600,530,454,481
17700,448,453,482
17800,457,469,485
17900,440,487,476
18000,517,471,471
18100,445,462,470
18200,497,458,464
18300,481,456,469
18400,468,464,465
18500,488,465,466
18600,470,473,456
18700,462,468,472
18800,481,471,467
18900,466,470,470
19000,476,476,471
19100,462,473,469
19200,471,469,471
19300,461,465,473
19400,474,469,471
19500,475,464,472
19600,460,466,489
19700,472,463,474
19800,467,464,469
19900,471,461,471
20000,467,450,475
20100,468,449,491
20200,486,456,477
20300,476,445,471
20400,448,450,472
20500,465,437,472
20600,455,447,479
20700,470,460,461
20800,473,470,494
20900,461,530,452
21000,487,521,438
21100,506,355,533
21200,478,506,378
21300,430,511,455
21400,467,310,508
21500,443,459,588
21600,498,547,468
21700,474,563,217
21800,429,471,522
21900,474,548,465
22000,477,485,488
22100,457,459,479
22200,448,409,477
22300,446,410,477
22400,472,448,483
22500,461,467,473
22600,490,465,458
22700,517,467,468
22800,470,466,469
22900,496,475,467
23000,439,465,477
23100,479,480,474
23200,478,481,472
23300,471,480,468
23400,452,481,469
23500,452,483,469
23600,480,478,472
23700,465,471,470
23800,455,470,472
23900,465,465,467
24000,489,464,472
24100,471,467,471
24200,468,457,473
24300,464,455,461
24400,457,451,479
24500,457,451,463
24600,455,454,461
24700,469,448,471
24800,462,454,474
24900,540,455,470
25000,478,438,456
25100,473,443,464
25200,448,445,472
25300,465,474,463
25400,453,484,498
25500,474,492,454
25600,474,425,438
25700,459,496,463
25800,456,439,419
25900,476,520,492
26000,449,515,567
26100,470,452,504
26200,480,471,539
26300,453,509,393
26400,510,519,516
26500,479,685,547
26600,500,550,458
26700,451,595,488
26800,474,464,391
26900,454,435,496
27000,478,533,414
27100,485,467,477
27200,477,479,475
27300,476,308,506
27400,497,364,420
27500,468,494,430
27600,442,447,503
27700,460,483,496
27800,466,458,518
27900,452,481,468
28000,481,459,471
28100,444,438,474
28200,466,441,476
28300,458,465,478
28400,465,475,480
28500,527,472,472
28600,466,474,472
28700,463,472,467
28800,473,471,467
28900,454,468,474
29000,452,467,468
29100,443,464,467
29200,491,466,470
29300,464,464,469
29400,465,466,468
29500,464,467,463
29600,469,467,471
29700,501,464,473
29800,456,463,476
29900,453,461,472
30000,454,463,471
30100,440,460,475
30200,460,463,473
30300,455,456,478
30400,462,462,473
30500,474,466,471
30600,478,467,478
30700,457,456,474
30800,469,460,470
30900,458,463,471
31000,446,456,475
31100,464,461,476
31200,453,464,469
