millis,sens0,sens1,sens2
5600,442,464,465
5700,475,464,469
5800,488,467,477
5900,507,483,473
6000,448,472,475
6100,461,466,475
6200,475,466,476
6300,459,465,473
6400,478,455,468
6500,470,465,472
6600,454,467,469
6700,454,466,475
6800,466,460,472
6900,452,467,471
7000,472,467,465
7100,474,467,468
7200,480,472,475
7300,466,493,474
7400,455,475,473
7500,434,461,475
7600,519,462,472
7700,477,471,477
7800,460,469,479
7900,390,458,480
8000,499,460,467
8100,455,466,465
8200,465,471,465
8300,500,467,468
8400,470,463,467
8500,454,467,483
8600,447,474,444
8700,436,462,471
8800,468,459,480
8900,422,469,480
9000,440,424,475
9100,465,444,459
9200,474,507,466
9300,486,464,481
9400,468,476,484
9500,468,457,500
9600,482,436,469
9700,458,468,464
9800,417,469,477
9900,460,448,459
10000,469,473,458
10100,452,458,455
10200,464,458,460
10300,483,465,490
10400,472,468,482
10500,463,462,476
10600,442,459,478
10700,460,463,475
10800,462,465,470
10900,464,469,475
11000,473,467,468
11100,459,467,472
11200,465,470,472
11300,473,468,467
11400,455,467,482
11500,481,470,470
11600,460,468,467
11700,474,469,471
11800,483,467,468
11900,486,468,473
12000,448,467,473
12100,460,479,472
12200,443,477,470
12300,478,481,467
12400,485,469,470
12500,450,460,475
12600,459,474,464
12700,491,473,475
12800,426,476,470
12900,461,471,486
13000,483,470,469
13100,502,466,472
13200,460,468,468
13300,457,461,467
13400,477,463,466
13500,436,479,496
13600,455,457,490
13700,486,474,457
13800,426,484,458
13900,451,467,517
14000,458,481,496
14100,488,492,460
14200,506,470,465
14300,448,461,500
14400,471,481,482
14500,432,474,462
14600,447,465,473
14700,435,458,477
14800,462,464,493
14900,452,458,473
15000,468,458,469
15100,475,457,468
15200,447,461,469
15300,479,464,473
15400,471,466,474
15500,459,468,475
15600,449,468,467
15700,467,475,470
15800,466,465,474
15900,480,472,474
16000,489,472,476
16100,478,470,476
16200,512,460,472
16300,475,469,470
16400,505,462,481
16500,463,465,472
16600,449,461,473
16700,491,468,470
16800,461,469,480
16900,471,463,477
17000,459,462,470
17100,477,467,506
17200,452,457,465
17300,477,469,462
17400,452,458,473
17500,447,471,465
17600,483,451,505
17700,467,472,474
17800,445,469,485
17900,467,469,465
18000,421,448,473
18100,456,452,467
18200,460,488,467
18300,436,468,455
18400,475,469,482
18500,482,452,463
18600,473,468,476
18700,484,452,496
18800,444,454,492
18900,463,481,461
19000,468,475,463
19100,478,467,470
19200,457,461,469
19300,463,460,478
19400,463,465,474
19500,452,462,474
19600,453,465,461
19700,480,464,471
19800,466,465,476
19900,472,469,472
20000,472,468,468
20100,479,454,470
20200,473,467,475
20300,448,460,472
20400,448,465,475
20500,491,466,471
20600,475,463,471
20700,463,465,468
20800,459,459,476
20900,468,461,471
21000,465,461,473
21100,457,462,472
21200,451,465,474
21300,467,461,478
21400,464,463,469
21500,498,467,471
21600,469,488,467
21700,466,473,472
21800,463,457,460
21900,455,482,469
22000,461,469,473
22100,469,469,476
22200,435,447,467
22300,471,460,463
22400,454,472,479
22500,471,461,489
22600,460,496,464
22700,484,474,483
22800,459,456,440
22900,458,460,480
23000,444,467,473
23100,454,461,473
23200,449,467,474
23300,468,456,477
23400,458,459,472
23500,484,459,467
23600,484,459,472
23700,479,455,476
23800,467,460,476
23900,459,466,471
24000,454,461,470
24100,461,464,468
24200,464,464,478
24300,462,467,470
24400,474,472,470
24500,456,462,470
24600,458,467,468
24700,476,466,477
24800,457,466,473
24900,450,461,475
25000,460,500,469
25100,476,471,470
25200,478,467,482
25300,490,464,485
25400,486,454,489
25500,470,458,479
25600,475,431,475
25700,463,480,447
25800,471,462,468
25900,484,445,477
26000,499,468,460
26100,486,505,477
26200,455,477,465
26300,536,470,453
26400,522,459,488
26500,447,485,531
26600,464,475,462
26700,456,468,484
26800,460,458,477
26900,459,468,475
27000,462,469,469
27100,458,463,484
