millis,sens0,sens1,sens2
4300,450,461,497
4500,472,461,473
4800,502,468,508
4900,452,467,525
5000,452,469,470
5100,484,467,497
5200,441,454,489
5300,471,460,559
5400,477,472,372
5500,460,453,376
5600,468,449,424
5700,490,435,452
5800,466,455,468
5900,418,468,427
6000,409,457,441
6100,504,452,489
6200,495,440,491
6300,453,470,488
6400,513,461,400
6500,453,449,453
6600,418,479,560
6700,473,494,515
6800,541,490,469
6900,602,476,583
7000,398,447,460
7100,520,480,427
7200,529,479,602
7300,380,482,683
7400,502,461,484
7500,484,454,466
7600,499,465,475
7700,482,453,475
7800,477,456,473
7900,467,458,471
8000,505,464,470
8100,451,464,474
8200,448,468,483
8300,467,467,474
8400,475,465,478
8500,468,467,470
8600,476,464,474
8700,454,473,475
8800,472,465,451
8900,491,470,471
9000,443,470,474
9100,456,472,479
9200,459,461,471
9300,429,472,469
9400,451,477,463
9500,501,470,567
9600,419,469,463
9700,449,478,498
9800,466,464,451
9900,459,470,449
10000,465,452,441
10100,456,460,509
10200,507,467,488
10300,502,461,503
10400,449,461,518
10500,424,461,529
10600,472,438,382
10700,455,462,394
10800,425,454,452
10900,528,474,589
11000,424,449,499
11100,480,504,361
11200,428,439,444
11300,433,452,469
11400,577,454,578
11500,391,463,547
11600,429,456,412
11700,461,507,523
11800,534,474,471
11900,465,471,468
12000,305,463,583
12100,554,476,424
12200,460,458,436
12300,613,479,458
12400,519,466,433
12500,425,445,475
12600,497,458,537
12700,482,453,477
12800,457,445,476
12900,454,456,483
13000,430,465,468
13100,459,466,464
13200,484,469,459
13300,476,471,462
13400,466,471,445
13500,484,470,469
13600,466,467,473
13700,456,465,465
13800,435,461,493
13900,450,472,472
14000,514,460,459
14100,431,465,479
14200,445,472,485
14300,431,475,547
14400,458,479,510
14500,488,469,463
14600,465,466,457
14700,457,459,481
14800,473,473,474
14900,539,518,469
15000,483,473,438
15100,496,447,497
15200,441,462,504
15300,542,451,650
15400,461,463,441
15500,457,477,447
15600,523,457,532
15700,485,442,412
15800,409,487,382
15900,423,452,539
16000,367,479,455
16100,368,452,429
16200,513,466,511
16300,477,407,383
16400,473,445,493
16500,421,455,473
16600,624,466,466
16700,478,494,473
16800,378,462,528
16900,427,459,515
17000,448,461,528
17100,402,464,335
17200,461,476,451
17300,583,497,486
17400,357,461,467
17500,371,473,651
17600,442,464,378
17700,464,466,387
17800,467,448,486
17900,449,444,475
18000,465,458,470
18100,469,463,471
18200,481,468,463
18300,468,475,475
18400,454,468,475
18500,459,473,469
18600,464,467,479
18700,465,470,468
18800,424,466,475
18900,476,465,473
19000,440,468,472
19100,467,470,503
19200,452,471,469
19300,480,466,480
19400,461,462,479
19500,484,456,474
19600,451,468,467
19700,457,470,475
19800,452,463,497
19900,482,469,473
20000,464,467,505
20100,481,460,471
20200,466,463,466
20300,469,472,438
20400,437,467,479
20500,453,453,430
20600,426,456,442
20700,459,446,439
20800,452,441,411
20900,464,469,438
21000,539,483,455
21100,440,470,522
21200,486,454,479
21300,536,465,530
21400,446,486,530
21500,457,477,451
21600,446,442,437
21700,518,441,477
21800,570,468,487
21900,425,451,443
22000,436,470,380
22100,500,470,446
22200,405,469,473
22300,425,455,470
22400,458,430,357
22500,437,454,634
22600,453,457,386
22700,456,412,349
22800,474,475,427
22900,505,467,448
23000,415,475,469
23100,346,477,523
23200,335,454,534
23300,433,462,667
23400,441,454,476
23500,456,456,475
23600,452,453,470
23700,456,450,468
23800,466,463,474
23900,464,466,476
24000,462,465,464
24100,438,469,467
24200,450,463,480
24300,483,466,475
24400,437,464,473
24500,462,468,475
24600,466,477,471
24700,492,465,471
24800,485,470,476
24900,449,467,471
25000,473,470,488
25100,466,469,469
25200,438,467,474
25300,471,472,452
25400,422,470,486
25500,441,487,465
25600,465,456,537
25700,489,460,499
25800,461,470,452
25900,470,459,437
26000,471,495,493
26100,479,460,448
26200,475,440,498
26300,467,452,469
26400,427,464,501
26500,336,463,450
26600,433,477,444
26700,460,491,406
26800,420,464,470
26900,462,464,402
27000,492,448,444
27100,435,452,479
27200,456,450,396
27300,560,484,478
27400,495,460,493
27500,418,451,465
27600,422,488,593
27700,467,456,377
27800,481,470,451
27900,499,472,455
28000,444,476,502
28100,433,459,485
28200,462,449,472
28300,452,447,462
28400,454,448,478
28500,454,471,482
28600,458,466,474
28700,502,467,478
28800,488,467,474
28900,462,467,474
29000,475,465,473
29100,465,469,476
29200,457,470,473
29300,475,467,468
29400,467,468,472
29500,457,472,459
29600,462,466,509
29700,442,472,463
29800,445,467,459
29900,451,461,467
30000,459,474,445
30100,448,459,473
30200,440,464,479
30300,484,455,466
30400,482,461,454
30500,461,473,417
30600,517,462,412
30700,455,495,444
30800,483,458,460
30900,431,460,463
31000,502,468,499
31100,425,461,462
31200,441,458,425
31300,453,458,564
31400,426,479,403
31500,447,462,340
31600,459,435,402
31700,440,446,420
31800,458,430,455
31900,523,444,469
32000,442,488,554
32100,531,475,464
32200,463,453,443
32300,449,434,501
32400,469,440,376
32500,472,481,492
32600,553,473,375
32700,527,469,527
32800,452,461,473
32900,487,452,486
33000,455,453,481
33100,468,460,471
33200,466,463,483
33300,464,466,471
33400,464,462,469
33500,465,469,485
33600,459,470,470
33700,471,469,475
33800,467,470,483
33900,481,464,472
34000,466,470,471
34100,479,468,506
34200,461,465,468
34300,524,463,455
34400,472,469,459
34500,478,466,472
34600,510,469,476
34700,502,473,496
34800,411,475,461
34900,564,524,495
35000,443,465,444
35100,479,471,479
35200,477,480,486
35300,485,463,447
35400,458,478,458
35500,470,470,489
35600,466,489,464
35700,467,472,359
35800,466,475,384
35900,475,485,376
36000,441,407,492
36100,461,454,472
36200,477,487,477
36300,517,468,460
36400,445,471,510
36500,552,459,338
36600,468,389,513
36700,691,443,437
36800,475,472,476
36900,460,448,472
37000,444,449,476
37100,439,453,476
37200,460,462,469
37300,467,466,468
37400,475,469,475
37500,464,465,475
37600,473,465,470
37700,467,471,475
37800,453,469,469
37900,471,466,469
38000,499,467,469
38100,524,468,467
38200,479,471,463
38300,476,464,469
38400,454,470,476
38500,471,476,478
38600,475,477,465
38700,480,475,489
38800,451,486,424
38900,481,459,463
39000,472,454,511
39100,415,471,493
39200,428,467,468
39300,414,452,421
39400,516,468,425
39500,482,433,562
39600,381,476,510
39700,465,446,558
39800,482,431,435
39900,556,472,430
40000,353,430,460
40100,564,471,401
40200,438,419,502
40300,411,477,509
40400,538,453,471
40500,467,443,475
40600,438,453,472
40700,434,458,470
40800,449,461,467
40900,468,464,474
41000,467,468,478
41100,481,465,473
