millis,sens0,sens1,sens2
6200,458,462,473
6300,458,462,470
6400,468,464,472
6500,474,454,471
6600,471,464,474
6700,459,460,473
6800,462,467,472
6900,452,461,461
7000,456,474,467
7100,481,457,485
7200,466,460,477
7300,471,459,467
7400,452,464,475
7500,470,466,484
7600,455,479,463
7700,454,456,424
7800,463,421,489
7900,450,467,446
8000,444,455,416
8100,474,483,415
8200,456,493,458
8300,462,484,380
8400,480,452,524
8500,482,468,470
8600,474,523,494
8700,473,534,477
8800,466,448,568
8900,446,354,490
9000,461,468,301
9100,435,482,377
9200,469,528,511
9300,458,368,597
9400,498,464,530
9500,476,428,528
9600,475,319,452
9700,478,500,426
9800,450,559,445
9900,454,391,448
10000,471,440,348
10100,455,318,586
10200,470,535,190
10300,445,467,621
10400,504,486,549
10500,492,493,543
10600,496,479,486
10700,558,473,479
10800,442,469,481
10900,489,463,475
11000,444,458,463
11100,471,456,472
11200,452,456,464
11300,475,451,490
11400,456,457,458
11500,465,460,470
11600,463,465,476
11700,460,467,468
11800,450,456,487
11900,457,463,483
12000,500,463,492
12100,446,460,469
12200,447,468,471
12300,485,466,499
12400,471,463,446
12500,463,466,429
12600,469,449,435
12700,457,455,506
12800,472,444,454
12900,470,462,475
13000,464,477,450
13100,454,440,488
13200,465,477,522
13300,461,484,448
13400,461,501,416
13500,466,504,449
13600,450,448,417
13700,469,483,504
13800,459,487,459
13900,459,452,491
14000,453,490,491
14100,461,499,427
14200,470,515,567
14300,472,492,440
14400,476,481,450
14500,451,462,385
14600,478,482,410
14700,468,439,525
14800,441,435,444
14900,459,458,366
15000,448,380,546
15100,466,462,430
15200,465,516,452
15300,483,478,409
15400,473,477,383
15500,460,485,451
15600,462,477,466
15700,466,502,461
15800,465,548,484
15900,489,468,498
16000,464,467,478
16100,486,478,476
16200,455,476,477
16300,459,473,477
16400,464,466,478
16500,462,461,459
16600,468,459,474
16700,488,456,470
16800,472,465,469
16900,479,467,464
17000,482,462,465
17100,455,462,462
17200,466,459,478
17300,469,458,475
17400,455,460,472
17500,482,465,467
17600,471,462,483
17700,455,459,473
17800,462,327,522
17900,454,456,464
18000,477,470,492
18100,456,469,467
18200,459,466,507
18300,469,494,464
18400,471,464,463
18500,506,466,457
18600,531,469,560
18700,450,484,444
18800,445,507,498
18900,451,500,402
19000,451,415,431
19100,447,487,433
19200,465,444,512
19300,494,506,471
19400,481,403,450
19500,456,489,476
19600,443,424,478
19700,442,513,496
19800,455,529,465
19900,455,443,498
20000,504,448,501
20100,472,517,495
20200,475,472,452
20300,478,476,399
20400,458,467,433
20500,456,491,542
20600,455,452,417
20700,465,470,512
20800,475,495,435
