millis,sens0,sens1,sens2
3600,466,470,479
3700,463,472,480
3800,469,463,481
3900,470,474,480
4000,459,439,477
4100,465,461,481
4200,474,469,482
4300,471,456,482
4400,464,468,479
4500,465,452,478
4600,470,454,478
4700,452,426,486
4800,444,447,483
4900,478,482,477
5000,468,466,478
5100,475,453,483
5200,466,453,478
5300,473,448,483
5400,465,471,483
5500,480,458,480
5600,455,439,473
5700,465,444,475
5800,477,435,477
5900,441,486,445
6000,431,441,445
6100,425,423,465
6200,298,590,476
6300,576,584,610
6400,607,436,531
6500,459,407,538
6600,460,409,519
6700,490,451,527
6800,496,471,504
6900,484,547,499
7000,465,459,478
7100,463,438,491
7200,470,503,482
7300,463,424,472
7400,469,453,470
7500,454,473,471
7600,461,421,473
7700,451,464,471
7800,449,478,469
7900,439,462,472
8000,511,456,467
8100,477,452,463
8200,446,454,464
8300,488,488,480
8400,446,465,471
8500,440,420,460
8600,461,410,444
8700,469,403,433
8800,513,437,445
8900,500,434,438
9000,453,457,437
9100,357,437,576
9200,519,380,519
9300,388,465,516
9400,575,516,647
9500,560,417,519
9600,501,345,527
9700,479,459,492
9800,481,415,490
9900,480,474,483
10000,484,506,488
10100,468,520,486
10200,467,437,475
10300,463,481,470
10400,453,490,468
10500,444,472,472
10600,454,504,472
10700,454,458,475
10800,455,470,470
10900,449,456,471
11000,447,468,475
11100,458,483,473
11200,454,452,473
11300,467,461,475
11400,474,452,477
11500,467,465,471
11600,460,449,471
11700,458,446,485
11800,470,417,460
11900,450,469,424
12000,447,410,415
12100,468,423,433
12200,433,458,433
12300,640,587,494
12400,457,508,475
12500,490,473,527
12600,497,523,502
12700,490,372,479
12800,428,472,450
12900,521,448,478
13000,486,459,489
13100,479,464,498
13200,473,433,485
13300,486,488,479
13400,485,489,480
13500,464,491,473
13600,447,540,472
13700,451,511,471
13800,460,454,467
13900,446,422,474
14000,443,449,475
14100,461,467,470
14200,461,451,479
14300,461,469,476
14400,461,460,475
14500,456,482,479
14600,456,457,474
14700,467,474,472
14800,466,460,475
14900,468,449,471
15000,451,471,465
15100,458,480,478
15200,451,422,475
15300,437,451,512
15400,390,517,524
15500,472,472,457
15600,521,417,346
15700,528,316,507
15800,486,425,505
15900,449,440,550
16000,546,393,549
16100,548,477,531
16200,490,424,505
16300,492,449,500
16400,472,439,442
16500,462,478,476
16600,477,500,482
16700,474,491,475
16800,474,477,472
16900,470,463,473
17000,459,480,475
17100,452,473,467
17200,449,464,466
17300,454,457,467
17400,464,472,480
17500,448,456,477
17600,453,531,480
17700,450,467,473
17800,458,458,485
17900,455,489,480
18000,466,455,473
18100,461,444,461
18200,457,457,464
18300,463,469,471
18400,450,452,482
18500,458,465,469
18600,462,460,476
18700,468,479,525
18800,442,452,500
18900,501,507,499
19000,426,465,392
19100,401,445,445
19200,494,483,469
19300,585,477,503
19400,419,390,481
19500,493,442,425
19600,466,457,502
19700,482,497,510
19800,465,464,493
19900,470,557,488
20000,468,447,489
20100,476,558,478
20200,480,479,474
20300,454,436,474
20400,456,538,473
20500,449,474,472
20600,453,473,470
20700,458,450,467
20800,450,464,475
20900,452,463,472
21000,447,454,466
21100,454,572,474
21200,462,458,474
21300,471,526,473
21400,450,476,476
21500,461,436,470
21600,464,448,477
21700,481,442,473
21800,463,473,483
21900,452,489,471
22000,449,490,484
22100,447,430,478
22200,447,439,487
22300,514,420,465
22400,531,514,477
22500,425,445,483
22600,471,548,477
22700,460,469,486
22800,450,460,484
22900,451,430,483
23000,464,479,477
23100,457,454,484
23200,462,464,480
23300,473,449,474
23400,471,466,477
23500,448,482,497
23600,441,406,410
23700,458,477,461
23800,423,461,498
23900,430,426,474
24000,441,444,445
24100,494,447,462
24200,462,476,504
24300,469,507,502
24400,484,466,520
24500,463,376,347
24600,442,472,505
24700,467,590,484
24800,450,422,549
24900,450,434,516
25000,478,488,492
25100,484,493,495
25200,455,501,481
25300,457,499,477
25400,470,473,477
25500,465,480,478
25600,463,455,477
25700,464,459,469
25800,453,463,467
25900,442,464,492
26000,461,433,470
26100,470,478,474
26200,446,465,460
26300,257,420,375
26400,485,438,358
26500,593,450,415
26600,602,456,512
26700,493,493,503
26800,528,477,496
26900,488,441,493
27000,469,430,495
27100,496,468,488
27200,485,430,485
27300,471,472,482
27400,445,469,485
27500,468,462,477
27600,455,450,473
27700,465,468,471
27800,465,458,476
27900,442,413,473
28000,435,500,470
28100,463,582,477
28200,488,338,477
28300,439,261,495
28400,379,408,480
28500,553,495,465
28600,409,434,476
28700,402,251,478
28800,440,588,480
28900,475,427,480
29000,464,521,486
29100,468,449,487
29200,468,459,484
29300,463,475,488
29400,464,485,475
29500,467,453,479
29600,474,472,475
29700,461,459,480
29800,463,468,479
29900,470,487,478
30000,461,469,473
30100,467,468,477
